DDI-MedLine.d62.s3|179-186|spectrin|drug
DDI-DrugBank.d357.s0|177-181|drugs|group
DDI-DrugBank.d357.s0|195-204|antagonist|group
DDI-DrugBank.d357.s0|237-247|ondansetron|drug
DDI-DrugBank.d357.s0|250-260|granisetron|drug
DDI-DrugBank.d357.s0|263-272|dolasetron|drug
DDI-DrugBank.d357.s0|275-286|palonosetron|drug
DDI-DrugBank.d357.s0|293-301|alosetron|drug
DDI-DrugBank.d357.s1|17-27|Medications|group
DDI-DrugBank.d357.s1|33-44|Vasodilators|group
DDI-DrugBank.d357.s1|158-168|medications|group
DDI-DrugBank.d357.s1|173-184|vasodilators|group
DDI-DrugBank.d357.s1|248-252|drugs|group
DDI-DrugBank.d357.s3|0-19|Dopamine Antagonists|group
DDI-DrugBank.d357.s3|28-38|apomorphine|drug
DDI-DrugBank.d357.s3|45-52|dopamine|drug
DDI-DrugBank.d357.s3|83-102|dopamine antagonists|group
DDI-DrugBank.d357.s3|117-128|neuroleptics|group
DDI-DrugBank.d357.s3|131-144|phenothiazines|group
DDI-DrugBank.d357.s3|147-160|butyrophenones|group
DDI-DrugBank.d357.s3|163-175|thioxanthenes|group
DDI-DrugBank.d357.s3|181-194|metoclopramide|drug
DDI-DrugBank.d357.s3|231-236|APOKYN|brand
DDI-DrugBank.d357.s4|14-18|major|brand
DDI-DrugBank.d357.s4|54-65|neuroleptics|group
DDI-DrugBank.d357.s4|91-107|dopamine agonists|group
DDI-DrugBank.d357.s5|0-4|Drugs|group
DDI-DrugBank.d357.s5|82-92|apomorphine|drug
DDI-DrugBank.d357.s5|113-117|drugs|group
DDI-DrugBank.d357.s5|124-130|prolong|brand
DDI-DrugBank.d357.s6|21-32|Interactions|group
DDI-DrugBank.d357.s6|53-64|interactions|group
DDI-DrugBank.d357.s6|74-79|APOKYN|brand
DDI-DrugBank.d253.s0|25-30|agents|group
DDI-DrugBank.d253.s0|74-83|arbutamine|drug
DDI-DrugBank.d253.s1|25-30|agents|group
DDI-DrugBank.d253.s2|0-20|Antiarrhythmic agents|group
DDI-DrugBank.d253.s2|23-27|class|group
DDI-DrugBank.d253.s2|40-49|flecainide|drug
DDI-DrugBank.d253.s2|52-60|lidocaine|drug
DDI-DrugBank.d253.s2|66-74|quinidine|drug
DDI-DrugBank.d253.s2|98-107|arbutamine|drug
DDI-DrugBank.d253.s3|0-14|Antidepressants|group
DDI-DrugBank.d253.s3|29-36|atropine|drug
DDI-DrugBank.d253.s3|47-68|anticholinergic agents|group
DDI-DrugBank.d253.s3|74-93|digitalis glycosides|group
DDI-DrugBank.d253.s3|116-125|arbutamine|drug
DDI-DrugBank.d105.s0|0-13|Anticoagulants|group
DDI-DrugBank.d105.s0|25-32|coumarin|drug
DDI-DrugBank.d105.s0|58-68|derivatives|group
DDI-DrugBank.d105.s0|96-105|inhibitors|group
DDI-DrugBank.d105.s0|146-150|drugs|group
DDI-DrugBank.d105.s0|153-158|NSAIDs|group
DDI-DrugBank.d105.s0|166-172|aspirin|brand
DDI-DrugBank.d105.s0|245-253|ardeparin|drug
DDI-DrugBank.d509.s0|10-21|Interactions|group
DDI-DrugBank.d509.s0|56-67|aripiprazole|drug
DDI-DrugBank.d509.s0|98-104|ABILIFY|brand
DDI-DrugBank.d509.s0|158-162|drugs|group
DDI-DrugBank.d509.s0|168-174|alcohol|brand
DDI-DrugBank.d509.s2|35-46|aripiprazole|drug
DDI-DrugBank.d509.s2|99-121|antihypertensive agents|group
DDI-DrugBank.d509.s3|20-24|Drugs|group
DDI-DrugBank.d509.s3|36-42|ABILIFY|brand
DDI-DrugBank.d509.s3|146-152|enzymes|group
DDI-DrugBank.d509.s4|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s5|37-48|aripiprazole|drug
DDI-DrugBank.d509.s5|55-64|inhibitors|group
DDI-DrugBank.d509.s5|87-93|enzymes|group
DDI-DrugBank.d509.s6|43-54|aripiprazole|drug
DDI-DrugBank.d509.s7|0-5|Agents|group
DDI-DrugBank.d509.s7|31-43|carbamazepine|drug
DDI-DrugBank.d509.s7|73-84|aripiprazole|drug
DDI-DrugBank.d509.s7|106-110|blood|group
DDI-DrugBank.d509.s8|0-9|Inhibitors|group
DDI-DrugBank.d509.s8|26-37|ketoconazole|drug
DDI-DrugBank.d509.s8|55-63|quinidine|drug
DDI-DrugBank.d509.s8|66-75|fluoxetine|drug
DDI-DrugBank.d509.s8|81-90|paroxetine|drug
DDI-DrugBank.d509.s8|105-116|aripiprazole|drug
DDI-DrugBank.d509.s8|150-154|blood|group
DDI-DrugBank.d509.s9|0-11|Ketoconazole|drug
DDI-DrugBank.d509.s9|34-45|ketoconazole|drug
DDI-DrugBank.d509.s9|100-111|aripiprazole|drug
DDI-DrugBank.d509.s9|134-145|aripiprazole|drug
DDI-DrugBank.d509.s10|23-34|ketoconazole|drug
DDI-DrugBank.d509.s11|35-46|ketoconazole|drug
DDI-DrugBank.d509.s11|53-64|aripiprazole|drug
DDI-DrugBank.d509.s11|74-85|aripiprazole|drug
DDI-DrugBank.d509.s12|13-22|inhibitors|group
DDI-DrugBank.d509.s12|35-46|itraconazole|drug
DDI-DrugBank.d509.s12|113-122|reductions|group
DDI-DrugBank.d509.s13|7-16|inhibitors|group
DDI-DrugBank.d509.s13|19-30|erythromycin|drug
DDI-DrugBank.d509.s13|33-42|grapefruit|drug
DDI-DrugBank.d509.s14|16-24|inhibitor|group
DDI-DrugBank.d509.s14|69-80|aripiprazole|drug
DDI-DrugBank.d509.s15|0-8|Quinidine|drug
DDI-DrugBank.d509.s15|54-65|aripiprazole|drug
DDI-DrugBank.d509.s15|72-80|quinidine|drug
DDI-DrugBank.d509.s15|117-125|inhibitor|group
DDI-DrugBank.d509.s15|159-170|aripiprazole|drug
DDI-DrugBank.d509.s16|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s16|102-110|quinidine|drug
DDI-DrugBank.d509.s16|117-128|aripiprazole|drug
DDI-DrugBank.d509.s17|18-27|inhibitors|group
DDI-DrugBank.d509.s17|48-57|fluoxetine|drug
DDI-DrugBank.d509.s17|62-71|paroxetine|drug
DDI-DrugBank.d509.s17|170-179|reductions|group
DDI-DrugBank.d509.s18|16-24|inhibitor|group
DDI-DrugBank.d509.s18|69-80|aripiprazole|drug
DDI-DrugBank.d509.s19|0-12|Carbamazepine|drug
DDI-DrugBank.d509.s19|35-47|carbamazepine|drug
DDI-DrugBank.d509.s19|93-104|aripiprazole|drug
DDI-DrugBank.d509.s19|144-146|70%|brand
DDI-DrugBank.d509.s19|188-199|aripiprazole|drug
DDI-DrugBank.d509.s20|5-17|carbamazepine|drug
DDI-DrugBank.d509.s20|31-42|aripiprazole|drug
DDI-DrugBank.d509.s20|53-64|aripiprazole|drug
DDI-DrugBank.d509.s22|5-17|carbamazepine|drug
DDI-DrugBank.d509.s22|62-73|aripiprazole|drug
DDI-DrugBank.d509.s23|36-45|famotidine|drug
DDI-DrugBank.d509.s23|62-68|lithium|brand
DDI-DrugBank.d509.s23|86-101|pharmacokinetics|group
DDI-DrugBank.d509.s23|106-117|aripiprazole|drug
DDI-DrugBank.d509.s23|158-169|Interactions|group
DDI-DrugBank.d509.s24|14-20|ABILIFY|brand
DDI-DrugBank.d509.s24|38-42|Drugs|group
DDI-DrugBank.d509.s24|115-126|interactions|group
DDI-DrugBank.d509.s24|133-137|drugs|group
DDI-DrugBank.d509.s24|154-168|cytochrome P450|drug
DDI-DrugBank.d509.s25|46-57|aripiprazole|drug
DDI-DrugBank.d509.s25|110-125|dextromethorphan|drug
DDI-DrugBank.d509.s25|137-144|warfarin|drug
DDI-DrugBank.d509.s25|157-166|omeprazole|drug
DDI-DrugBank.d509.s25|169-176|warfarin|drug
DDI-DrugBank.d509.s25|192-207|dextromethorphan|drug
DDI-DrugBank.d509.s25|210-219|substrates|group
DDI-DrugBank.d509.s26|14-25|aripiprazole|drug
DDI-DrugBank.d509.s27|0-6|Alcohol|brand
DDI-DrugBank.d509.s27|53-64|aripiprazole|drug
DDI-DrugBank.d509.s27|86-92|ethanol|drug
DDI-DrugBank.d509.s27|126-132|ethanol|drug
DDI-DrugBank.d509.s28|26-36|medications|group
DDI-DrugBank.d509.s28|75-81|alcohol|brand
DDI-DrugBank.d109.s0|27-36|Macrolides|group
DDI-DrugBank.d73.s0|24-28|drugs|group
DDI-DrugBank.d73.s0|35-43|reserpine|drug
DDI-DrugBank.d73.s0|104-109|agents|group
DDI-DrugBank.d73.s1|22-29|TENORMIN|brand
DDI-DrugBank.d73.s2|0-23|Calcium channel blockers|group
DDI-DrugBank.d73.s2|74-81|TENORMIN|brand
DDI-DrugBank.d73.s3|5-12|blockers|group
DDI-DrugBank.d73.s3|89-97|clonidine|drug
DDI-DrugBank.d73.s4|11-15|drugs|group
DDI-DrugBank.d73.s4|46-52|blocker|group
DDI-DrugBank.d73.s4|120-128|clonidine|drug
DDI-DrugBank.d73.s5|13-21|clonidine|drug
DDI-DrugBank.d73.s5|26-37|beta-blocker|group
DDI-DrugBank.d73.s5|73-80|blockers|group
DDI-DrugBank.d73.s5|123-131|clonidine|drug
DDI-DrugBank.d73.s6|53-57|drugs|group
DDI-DrugBank.d73.s6|64-75|indomethacin|drug
DDI-DrugBank.d73.s6|123-130|blockers|group
DDI-DrugBank.d73.s7|35-42|atenolol|drug
DDI-DrugBank.d73.s7|48-54|aspirin|brand
DDI-DrugBank.d73.s8|106-112|aspirin|brand
DDI-DrugBank.d73.s8|123-130|blockers|group
DDI-DrugBank.d73.s9|18-25|blockers|group
DDI-DrugBank.d73.s9|93-101|allergens|group
DDI-DrugBank.d73.s9|191-201|therapeutic|brand
DDI-DrugBank.d73.s10|56-66|epinephrine|drug
DDI-DrugBank.d489.s0|14-18|drugs|group
DDI-DrugBank.d489.s0|50-56|Kerlone|brand
DDI-DrugBank.d489.s0|83-98|pharmacokinetics|group
DDI-DrugBank.d489.s0|101-110|cimetidine|drug
DDI-DrugBank.d489.s0|113-122|nifedipine|drug
DDI-DrugBank.d489.s0|125-138|chlorthalidone|drug
DDI-DrugBank.d489.s0|145-163|hydrochlorothiazide|drug
DDI-DrugBank.d489.s1|30-36|Kerlone|brand
DDI-DrugBank.d489.s1|52-64|anticoagulant|group
DDI-DrugBank.d489.s1|112-124|anticoagulant|group
DDI-DrugBank.d489.s1|136-143|warfarin|drug
DDI-DrugBank.d489.s2|24-28|drugs|group
DDI-DrugBank.d489.s2|37-45|reserpine|drug
DDI-DrugBank.d489.s2|106-111|agents|group
DDI-DrugBank.d489.s3|58-62|agent|group
DDI-DrugBank.d489.s4|66-78|beta-blockers|group
DDI-DrugBank.d489.s4|84-92|clonidine|drug
DDI-DrugBank.d489.s4|112-123|beta-blocker|group
DDI-DrugBank.d489.s4|206-214|clonidine|drug
DDI-DrugBank.d489.s5|37-43|calcium|drug
DDI-DrugBank.d489.s5|114-119|agents|group
DDI-DrugBank.d489.s5|200-215|cardiac function|group
DDI-DrugBank.d489.s6|141-146|agents|group
DDI-DrugBank.d489.s6|161-167|calcium|drug
DDI-DrugBank.d489.s6|207-213|regimen|brand
DDI-DrugBank.d489.s7|44-50|calcium|drug
DDI-DrugBank.d489.s7|70-84|dihydropyridine|drug_n
DDI-DrugBank.d489.s7|104-113|nifedipine|drug
DDI-DrugBank.d489.s7|189-196|complete|brand
DDI-DrugBank.d489.s7|249-257|verapamil|drug
DDI-DrugBank.d489.s7|262-270|diltiazem|drug
DDI-DrugBank.d489.s8|69-81|beta-blockers|group
DDI-DrugBank.d489.s8|104-114|epinephrine|drug
DDI-DrugBank.d489.s8|156-168|beta-blockers|group
DDI-DrugBank.d489.s9|16-24|reactions|group
DDI-DrugBank.d489.s9|103-111|allergens|group
DDI-DrugBank.d489.s9|157-163|contact|brand
DDI-DrugBank.d489.s9|189-199|therapeutic|brand
DDI-DrugBank.d489.s9|224-236|beta-blockers|group
DDI-DrugBank.d489.s10|56-66|epinephrine|drug
DDI-DrugBank.d497.s0|0-4|AZOPT|brand
DDI-DrugBank.d497.s0|7-18|brinzolamide|drug
DDI-DrugBank.d497.s0|76-84|inhibitor|group
DDI-DrugBank.d497.s1|26-36|alterations|group
DDI-DrugBank.d497.s1|84-95|brinzolamide|drug
DDI-DrugBank.d497.s2|39-67|carbonic anhydrase inhibitors|group
DDI-DrugBank.d497.s2|93-104|interactions|group
DDI-DrugBank.d497.s2|135-144|salicylate|group
DDI-DrugBank.d497.s3|94-98|AZOPT|brand
DDI-DrugBank.d497.s3|101-112|brinzolamide|drug
DDI-DrugBank.d153.s0|28-37|anesthetic|brand
DDI-DrugBank.d153.s0|60-70|epinephrine|drug
DDI-DrugBank.d153.s0|75-88|norepinephrine|drug
DDI-DrugBank.d153.s0|112-139|monoamine oxidase inhibitors|group
DDI-DrugBank.d153.s0|154-168|antidepressants|group
DDI-DrugBank.d153.s1|24-29|agents|group
DDI-DrugBank.d153.s2|3-12|situations|group
DDI-DrugBank.d153.s3|41-45|drugs|group
DDI-DrugBank.d153.s3|74-78|drugs|group
DDI-DrugBank.d153.s4|0-13|Phenothiazines|group
DDI-DrugBank.d153.s4|19-32|butyrophenones|group
DDI-DrugBank.d153.s4|78-88|epinephrine|drug
DDI-DrugBank.d213.s0|0-5|Iodine|drug
DDI-DrugBank.d213.s0|10-15|iodine|drug
DDI-DrugBank.d213.s0|51-61|Carbimazole|drug
DDI-DrugBank.d213.s0|71-76|iodine|drug
DDI-DrugBank.d213.s0|116-126|Carbimazole|drug
DDI-DrugBank.d213.s1|0-4|Serum|group
DDI-DrugBank.d213.s1|23-29|digoxin|drug
DDI-DrugBank.d213.s1|35-43|digitoxin|drug
DDI-DrugBank.d213.s1|77-94|antithyroid agents|group
DDI-DrugBank.d213.s3|0-17|Antithyroid agents|group
DDI-DrugBank.d213.s3|52-64|sodium iodide|drug
DDI-DrugBank.d213.s3|142-152|Carbimazole|drug
DDI-DrugBank.d213.s4|26-39|anticoagulants|group
DDI-DrugBank.d213.s4|68-74|thyroid|brand
DDI-DrugBank.d213.s5|17-27|prothrombin|drug
DDI-DrugBank.d213.s5|55-67|anticoagulant|group
DDI-DrugBank.d520.s0|65-75|Carboplatin|drug
DDI-DrugBank.d269.s0|0-9|Inhibitors|group
DDI-DrugBank.d269.s1|5-16|metabolizers|group
DDI-DrugBank.d269.s1|34-45|Interactions|group
DDI-DrugBank.d269.s1|50-59|carvedilol|drug
DDI-DrugBank.d269.s1|73-82|inhibitors|group
DDI-DrugBank.d269.s1|103-111|quinidine|drug
DDI-DrugBank.d269.s1|114-123|fluoxetine|drug
DDI-DrugBank.d269.s1|126-135|paroxetine|drug
DDI-DrugBank.d269.s1|142-152|propafenone|drug
DDI-DrugBank.d269.s1|188-192|drugs|group
DDI-DrugBank.d269.s1|224-228|blood|group
DDI-DrugBank.d269.s1|263-272|carvedilol|drug
DDI-DrugBank.d269.s2|79-90|metabolizers|group
DDI-DrugBank.d269.s2|205-218|concentrations|group
DDI-DrugBank.d269.s3|24-29|Agents|group
DDI-DrugBank.d269.s3|53-58|agents|group
DDI-DrugBank.d269.s3|115-128|catecholamines|group
DDI-DrugBank.d269.s3|137-145|reserpine|drug
DDI-DrugBank.d269.s3|151-178|monoamine oxidase inhibitors|group
DDI-DrugBank.d269.s4|0-8|Clonidine|drug
DDI-DrugBank.d269.s4|41-49|clonidine|drug
DDI-DrugBank.d269.s4|56-61|agents|group
DDI-DrugBank.d269.s5|32-37|agents|group
DDI-DrugBank.d269.s5|70-78|clonidine|drug
DDI-DrugBank.d269.s5|116-120|agent|group
DDI-DrugBank.d269.s6|0-8|Clonidine|drug
DDI-DrugBank.d269.s7|0-11|Cyclosporine|drug
DDI-DrugBank.d269.s7|46-57|cyclosporine|drug
DDI-DrugBank.d269.s7|112-121|carvedilol|drug
DDI-DrugBank.d269.s8|38-49|cyclosporine|drug
DDI-DrugBank.d269.s8|81-88|maintain|brand
DDI-DrugBank.d269.s8|103-116|concentrations|group
DDI-DrugBank.d269.s8|129-139|therapeutic|brand
DDI-DrugBank.d269.s9|42-53|cyclosporine|drug
DDI-DrugBank.d269.s10|96-107|cyclosporine|drug
DDI-DrugBank.d269.s10|165-174|carvedilol|drug
DDI-DrugBank.d269.s10|205-216|cyclosporine|drug
DDI-DrugBank.d269.s11|0-6|Digoxin|drug
DDI-DrugBank.d269.s11|9-15|Digoxin|drug
DDI-DrugBank.d269.s11|64-70|digoxin|drug
DDI-DrugBank.d269.s11|76-85|carvedilol|drug
DDI-DrugBank.d269.s12|5-11|digoxin|drug
DDI-DrugBank.d269.s12|17-21|COREG|brand
DDI-DrugBank.d269.s13|35-41|digoxin|drug
DDI-DrugBank.d269.s13|103-107|COREG|brand
DDI-DrugBank.d269.s14|13-22|Inhibitors|group
DDI-DrugBank.d269.s14|47-54|Rifampin|brand
DDI-DrugBank.d269.s14|71-84|concentrations|group
DDI-DrugBank.d269.s14|89-98|carvedilol|drug
DDI-DrugBank.d269.s14|109-111|70%|brand
DDI-DrugBank.d269.s15|0-9|Cimetidine|drug
DDI-DrugBank.d269.s16|0-23|Calcium Channel Blockers|group
DDI-DrugBank.d269.s16|128-132|COREG|brand
DDI-DrugBank.d269.s16|158-166|diltiazem|drug
DDI-DrugBank.d269.s17|14-19|agents|group
DDI-DrugBank.d269.s17|52-56|COREG|brand
DDI-DrugBank.d269.s17|92-115|calcium channel blockers|group
DDI-DrugBank.d269.s17|124-132|verapamil|drug
DDI-DrugBank.d269.s17|137-145|diltiazem|drug
DDI-DrugBank.d269.s17|184-197|blood pressure|group
DDI-DrugBank.d269.s18|0-6|Insulin|group
DDI-DrugBank.d269.s18|16-28|Hypoglycemics|group
DDI-DrugBank.d269.s18|31-36|Agents|group
DDI-DrugBank.d269.s18|112-118|insulin|group
DDI-DrugBank.d269.s18|129-141|hypoglycemics|group
DDI-DrugBank.d269.s19|30-36|insulin|group
DDI-DrugBank.d269.s19|46-58|hypoglycemics|group
DDI-DrugBank.d269.s19|61-67|regular|brand
DDI-DrugBank.d269.s19|83-87|blood|group
DDI-DrugBank.d339.s0|0-12|Carbamazepine|drug
DDI-DrugBank.d339.s0|24-36|carbamazepine|drug
DDI-DrugBank.d339.s0|97-102|SUPRAX|brand
DDI-DrugBank.d339.s1|50-60|alterations|group
DDI-DrugBank.d339.s1|65-77|carbamazepine|drug
DDI-DrugBank.d339.s1|86-99|concentrations|group
DDI-DrugBank.d339.s2|0-7|Warfarin|drug
DDI-DrugBank.d339.s2|13-26|Anticoagulants|group
DDI-DrugBank.d339.s2|39-49|prothrombin|drug
DDI-DrugBank.d339.s2|115-122|cefixime|drug
DDI-DrugBank.d339.s3|21-32|Interactions|group
DDI-DrugBank.d339.s3|64-70|ketones|group
DDI-DrugBank.d339.s3|112-124|nitroprusside|drug
DDI-DrugBank.d339.s4|22-27|SUPRAX|brand
DDI-DrugBank.d339.s4|73-79|glucose|group
DDI-DrugBank.d339.s4|125-132|solution|brand
DDI-DrugBank.d339.s4|148-155|solution|brand
DDI-DrugBank.d339.s5|23-29|glucose|group
DDI-DrugBank.d339.s5|56-70|glucose oxidase|drug
DDI-DrugBank.d339.s6|96-106|antibiotics|group
DDI-DrugBank.d172.s0|21-32|interactions|group
DDI-DrugBank.d172.s0|49-57|celecoxib|drug
DDI-DrugBank.d172.s0|89-93|drugs|group
DDI-DrugBank.d172.s0|108-111|P450|drug
DDI-DrugBank.d172.s1|0-8|Celecoxib|drug
DDI-DrugBank.d172.s1|51-69|cytochrome P450 2C9|drug
DDI-DrugBank.d172.s2|21-29|celecoxib|drug
DDI-DrugBank.d172.s2|36-40|drugs|group
DDI-DrugBank.d172.s3|31-39|celecoxib|drug
DDI-DrugBank.d172.s3|51-59|inhibitor|group
DDI-DrugBank.d172.s3|64-82|cytochrome P450 2C9|drug
DDI-DrugBank.d172.s4|36-44|celecoxib|drug
DDI-DrugBank.d172.s4|79-87|inhibitor|group
DDI-DrugBank.d172.s4|92-110|cytochrome P450 2D6|drug
DDI-DrugBank.d172.s5|69-73|drugs|group
DDI-DrugBank.d172.s5|99-102|P450|drug
DDI-DrugBank.d172.s6|22-30|celecoxib|drug
DDI-DrugBank.d172.s6|72-83|interactions|group
DDI-DrugBank.d172.s6|90-100|fluconazole|drug
DDI-DrugBank.d172.s6|106-112|lithium|brand
DDI-DrugBank.d172.s7|47-51|drugs|group
DDI-DrugBank.d172.s7|54-59|NSAIDs|group
DDI-DrugBank.d172.s7|89-100|interactions|group
DDI-DrugBank.d172.s7|107-116|furosemide|drug
DDI-DrugBank.d172.s7|126-135|inhibitors|group
DDI-DrugBank.d172.s8|12-20|celecoxib|drug
DDI-DrugBank.d172.s8|29-44|pharmacokinetics|group
DDI-DrugBank.d172.s8|73-81|glyburide|drug
DDI-DrugBank.d172.s8|84-95|ketoconazole|drug
DDI-DrugBank.d172.s8|98-109|methotrexate|drug
DDI-DrugBank.d172.s8|112-120|phenytoin|drug
DDI-DrugBank.d172.s8|123-133|tolbutamide|drug
DDI-DrugBank.d172.s8|140-147|warfarin|drug
DDI-DrugBank.d172.s8|200-211|interactions|group
DDI-DrugBank.d172.s9|4-13|inhibitors|group
DDI-DrugBank.d172.s9|37-42|NSAIDs|group
DDI-DrugBank.d172.s9|124-133|inhibitors|group
DDI-DrugBank.d172.s10|66-73|CELEBREX|brand
DDI-DrugBank.d172.s10|94-107|ACE-inhibitors|group
DDI-DrugBank.d172.s11|0-9|Furosemide|drug
DDI-DrugBank.d172.s11|56-67|observations|group
DDI-DrugBank.d172.s11|86-91|NSAIDs|group
DDI-DrugBank.d172.s11|108-118|natriuretic|group
DDI-DrugBank.d172.s11|130-139|furosemide|drug
DDI-DrugBank.d172.s11|145-153|thiazides|group
DDI-DrugBank.d172.s13|0-6|Aspirin|brand
DDI-DrugBank.d172.s13|9-16|CELEBREX|brand
DDI-DrugBank.d172.s13|35-50|low dose aspirin|brand
DDI-DrugBank.d172.s14|39-45|aspirin|brand
DDI-DrugBank.d172.s14|52-59|CELEBREX|brand
DDI-DrugBank.d172.s14|119-131|complications|group
DDI-DrugBank.d172.s14|153-160|CELEBREX|brand
DDI-DrugBank.d172.s15|41-48|CELEBREX|brand
DDI-DrugBank.d172.s15|74-80|aspirin|brand
DDI-DrugBank.d172.s16|0-10|Fluconazole|drug
DDI-DrugBank.d172.s16|43-53|fluconazole|drug
DDI-DrugBank.d172.s16|103-111|celecoxib|drug
DDI-DrugBank.d172.s17|42-50|celecoxib|drug
DDI-DrugBank.d172.s17|67-70|P450|drug
DDI-DrugBank.d172.s17|79-89|fluconazole|drug
DDI-DrugBank.d172.s17|120-135|Pharmacokinetics|group
DDI-DrugBank.d172.s18|0-7|CELEBREX|brand
DDI-DrugBank.d172.s18|83-93|fluconazole|drug
DDI-DrugBank.d172.s19|0-6|Lithium|brand
DDI-DrugBank.d172.s19|69-75|lithium|brand
DDI-DrugBank.d172.s19|141-147|lithium|brand
DDI-DrugBank.d172.s19|165-172|CELEBREX|brand
DDI-DrugBank.d172.s19|219-225|lithium|brand
DDI-DrugBank.d172.s20|12-18|lithium|brand
DDI-DrugBank.d172.s20|63-70|CELEBREX|brand
DDI-DrugBank.d172.s21|0-11|Methotrexate|drug
DDI-DrugBank.d172.s21|52-60|arthritis|brand
DDI-DrugBank.d172.s21|78-89|methotrexate|drug
DDI-DrugBank.d172.s21|92-99|CELEBREX|brand
DDI-DrugBank.d172.s21|142-157|pharmacokinetics|group
DDI-DrugBank.d172.s21|162-173|methotrexate|drug
DDI-DrugBank.d172.s22|0-7|Warfarin|drug
DDI-DrugBank.d172.s22|24-32|celecoxib|drug
DDI-DrugBank.d172.s22|41-54|anti-coagulant|group
DDI-DrugBank.d172.s22|66-73|warfarin|drug
DDI-DrugBank.d172.s22|153-160|warfarin|drug
DDI-DrugBank.d172.s23|19-27|celecoxib|drug
DDI-DrugBank.d172.s23|47-59|anticoagulant|group
DDI-DrugBank.d172.s23|71-78|warfarin|drug
DDI-DrugBank.d172.s23|97-107|prothrombin|drug
DDI-DrugBank.d172.s24|51-58|CELEBREX|brand
DDI-DrugBank.d172.s24|65-72|warfarin|drug
DDI-DrugBank.d172.s24|129-141|complications|group
DDI-DrugBank.d141.s0|18-22|Drugs|group
DDI-DrugBank.d141.s0|37-47|Derivatives|group
DDI-DrugBank.d141.s0|50-55|Niacin|drug
DDI-DrugBank.d141.s0|58-71|Nicotinic Acid|drug
DDI-DrugBank.d141.s0|74-85|Erythromycin|drug
DDI-DrugBank.d141.s0|88-104|Azole Antifungals|group
DDI-DrugBank.d141.s0|116-121|Muscle|brand
DDI-DrugBank.d141.s1|0-6|ANTACID|brand
DDI-DrugBank.d141.s1|40-51|Cerivastatin|drug
DDI-DrugBank.d141.s1|60-73|concentrations|group
DDI-DrugBank.d141.s1|117-123|antacid|brand
DDI-DrugBank.d141.s2|12-23|Cerivastatin|drug
DDI-DrugBank.d141.s2|32-45|concentrations|group
DDI-DrugBank.d141.s2|89-98|cimetidine|drug
DDI-DrugBank.d141.s3|0-13|CHOLESTYRAMINE|drug
DDI-DrugBank.d141.s3|59-63|agent|group
DDI-DrugBank.d141.s3|107-125|cerivastatin sodium|drug
DDI-DrugBank.d141.s4|3-11|the first|brand
DDI-DrugBank.d141.s4|57-75|cerivastatin sodium|drug
DDI-DrugBank.d141.s4|86-99|cholestyramine|drug
DDI-DrugBank.d141.s4|189-207|cerivastatin sodium|drug
DDI-DrugBank.d141.s5|53-66|cholestyramine|drug
DDI-DrugBank.d141.s5|110-128|cerivastatin sodium|drug
DDI-DrugBank.d141.s5|162-165|same|drug
DDI-DrugBank.d141.s5|210-221|cerivastatin|drug
DDI-DrugBank.d141.s5|304-322|cerivastatin sodium|drug
DDI-DrugBank.d141.s6|58-76|cerivastatin sodium|drug
DDI-DrugBank.d141.s6|99-112|cholestyramine|drug
DDI-DrugBank.d141.s6|213-231|cerivastatin sodium|drug
DDI-DrugBank.d141.s7|0-6|DIGOXIN|drug
DDI-DrugBank.d141.s7|16-22|digoxin|drug
DDI-DrugBank.d141.s7|35-41|digoxin|drug
DDI-DrugBank.d141.s7|118-136|cerivastatin sodium|drug
DDI-DrugBank.d141.s8|0-11|Cerivastatin|drug
DDI-DrugBank.d141.s8|20-33|concentrations|group
DDI-DrugBank.d141.s8|82-88|digoxin|drug
DDI-DrugBank.d141.s9|0-7|WARFARIN|drug
DDI-DrugBank.d141.s9|32-39|warfarin|drug
DDI-DrugBank.d141.s9|45-56|cerivastatin|drug
DDI-DrugBank.d141.s9|113-123|prothrombin|drug
DDI-DrugBank.d141.s9|142-151|factor VII|group
DDI-DrugBank.d141.s9|191-198|warfarin|drug
DDI-DrugBank.d141.s10|52-59|warfarin|drug
DDI-DrugBank.d141.s10|108-126|cerivastatin sodium|drug
DDI-DrugBank.d141.s11|21-28|warfarin|drug
DDI-DrugBank.d141.s11|34-45|cerivastatin|drug
DDI-DrugBank.d141.s11|65-80|pharmacokinetics|group
DDI-DrugBank.d141.s11|85-103|cerivastatin sodium|drug
DDI-DrugBank.d141.s12|0-11|ERYTHROMYCIN|drug
DDI-DrugBank.d141.s12|61-72|cerivastatin|drug
DDI-DrugBank.d141.s12|176-187|erythromycin|drug
DDI-DrugBank.d141.s12|198-206|inhibitor|group
DDI-DrugBank.d141.s12|211-229|cytochrome P450 3A4|drug
DDI-DrugBank.d141.s13|106-124|cerivastatin sodium|drug
DDI-DrugBank.d141.s13|191-200|inhibitors|group
DDI-DrugBank.d141.s13|203-214|betablockers|group
DDI-DrugBank.d141.s13|233-240|blockers|group
DDI-DrugBank.d141.s13|243-251|diuretics|group
DDI-DrugBank.d141.s13|289-293|drugs|group
DDI-DrugBank.d141.s13|296-301|NSAIDs|group
DDI-DrugBank.d141.s13|355-366|interactions|group
